no,time:timestamp,name,TOC,activity,Priority_Code,case_id,DeviceType,Device,event_message
2,2017-05-01 00:00:01.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL LOW CHG-DET
10,2017-05-01 00:00:02.000,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232 BLKCAR Device689 SIGNAL RECEIVED NORMAL CHG-DET
13,2017-05-01 00:00:02.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L752_PULSAR,Substation611 BLKCAR L752_PULSAR SIGNAL RECEIVED BLOCK TRIP CHG-DET
14,2017-05-01 00:00:02.000,ML,TMS,TOCED,4,Substation78,BLKCAR,Device753,Substation78 BLKCAR Device753 SIGNAL RECEIVED TRIP ENABLED CHG-DET
18,2017-05-01 00:00:03.000,ML,TMS,TOCSR,4,Substation1051,BLKCAR,Device292,Substation1051 BLKCAR Device292 SIGNAL RECEIVED TRIP ENABLED CHG-DET
19,2017-05-01 00:00:03.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device20,Substation621 BLKCAR Device20 SIGNAL RECEIVED NORMAL CHG-DET
22,2017-05-01 00:00:04.000,ML,TMS,TOCNL,4,Substation1424,BLKCAR,R8018_STAND,Substation1424 BLKCAR R8018_STAND SIGNAL RECEIVED BLOCK TRIP CHG-DET
23,2017-05-01 00:00:04.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R7962_NATCHEZ,Substation1058 BLKCAR Device4575 SIGNAL RECEIVED NORMAL CHG-DET
24,2017-05-01 00:00:04.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L752_PULSAR,Substation611 BLKCAR L752_PULSAR SIGNAL RECEIVED NORMAL CHG-DET
27,2017-05-01 00:00:04.000,ML,TMS,TOCED,4,Substation78,BLKCAR,Device753,Substation78 BLKCAR Device753 SIGNAL RECEIVED NORMAL CHG-DET
28,2017-05-01 00:00:04.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
29,2017-05-01 00:00:05.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
30,2017-05-01 00:00:05.000,ML,TMS,TOCLR,4,Substation723,BLKCAR,Device516,Substation723 BLKCAR Device516 SIGNAL RECEIVED NORMAL CHG-DET
